Distance (km) Total Standard Deviations Trellis
vs30measured,True,hypo_depth,10.0,rake,0.0,z1pt0,100.0,vs30,800.0,ztor,5.0,dip,90.0
Magnitude,6.50
PGA
rhypo,rx,rjb,repi,rrup,AkkarBommer2010,AkkarCagnan2010,AkkarEtAlRjb2014,BooreAtkinson2008,ChiouYoungs2008,ZhaoEtAl2006Asc
10.0000,0.0000,0.0000,0.0000,5.0000,0.64851429,0.83221571,0.71210534,0.56400000,0.55887040,0.67574033
10.0499,1.0000,1.0000,1.0000,5.0990,0.64851429,0.83221571,0.71210534,0.56400000,0.55887422,0.67574033
10.1980,2.0000,2.0000,2.0000,5.3852,0.64851429,0.83221571,0.71210534,0.56400000,0.55888528,0.67574033
10.4403,3.0000,3.0000,3.0000,5.8310,0.64851429,0.83221571,0.71210534,0.56400000,0.55890254,0.67574033
10.7703,4.0000,4.0000,4.0000,6.4031,0.64851429,0.83221571,0.71210534,0.56400000,0.55892474,0.67574033
11.1803,5.0000,5.0000,5.0000,7.0711,0.64851429,0.83221571,0.71210534,0.56400000,0.55895068,0.67574033
11.6619,6.0000,6.0000,6.0000,7.8102,0.64851429,0.83221571,0.71210534,0.56400000,0.55897936,0.67574033
12.2066,7.0000,7.0000,7.0000,8.6023,0.64851429,0.83221571,0.71210534,0.56400000,0.55901001,0.67574033
12.8062,8.0000,8.0000,8.0000,9.4340,0.64851429,0.83221571,0.71210534,0.56400000,0.55904201,0.67574033
13.4536,9.0000,9.0000,9.0000,10.2956,0.64851429,0.83221571,0.71210534,0.56400000,0.55907491,0.67574033
14.1421,10.0000,10.0000,10.0000,11.1803,0.64851429,0.83221571,0.71210534,0.56400000,0.55910834,0.67574033
14.8661,11.0000,11.0000,11.0000,12.0830,0.64851429,0.83221571,0.71210534,0.56400000,0.55914200,0.67574033
15.6205,12.0000,12.0000,12.0000,13.0000,0.64851429,0.83221571,0.71210534,0.56400000,0.55917568,0.67574033
16.4012,13.0000,13.0000,13.0000,13.9284,0.64851429,0.83221571,0.71210534,0.56400000,0.55920918,0.67574033
17.2047,14.0000,14.0000,14.0000,14.8661,0.64851429,0.83221571,0.71210534,0.56400000,0.55924237,0.67574033
18.0278,15.0000,15.0000,15.0000,15.8114,0.64851429,0.83221571,0.71210534,0.56400000,0.55927510,0.67574033
18.8680,16.0000,16.0000,16.0000,16.7631,0.64851429,0.83221571,0.71210534,0.56400000,0.55930730,0.67574033
19.7231,17.0000,17.0000,17.0000,17.7200,0.64851429,0.83221571,0.71210534,0.56400000,0.55933888,0.67574033
20.5913,18.0000,18.0000,18.0000,18.6815,0.64851429,0.83221571,0.71210534,0.56400000,0.55936977,0.67574033
21.4709,19.0000,19.0000,19.0000,19.6469,0.64851429,0.83221571,0.71210534,0.56400000,0.55939995,0.67574033
22.3607,20.0000,20.0000,20.0000,20.6155,0.64851429,0.83221571,0.71210534,0.56400000,0.55942936,0.67574033
23.2594,21.0000,21.0000,21.0000,21.5870,0.64851429,0.83221571,0.71210534,0.56400000,0.55945799,0.67574033
24.1661,22.0000,22.0000,22.0000,22.5610,0.64851429,0.83221571,0.71210534,0.56400000,0.55948582,0.67574033
25.0799,23.0000,23.0000,23.0000,23.5372,0.64851429,0.83221571,0.71210534,0.56400000,0.55951284,0.67574033
26.0000,24.0000,24.0000,24.0000,24.5153,0.64851429,0.83221571,0.71210534,0.56400000,0.55953906,0.67574033
26.9258,25.0000,25.0000,25.0000,25.4951,0.64851429,0.83221571,0.71210534,0.56400000,0.55956447,0.67574033
27.8568,26.0000,26.0000,26.0000,26.4764,0.64851429,0.83221571,0.71210534,0.56400000,0.55958908,0.67574033
28.7924,27.0000,27.0000,27.0000,27.4591,0.64851429,0.83221571,0.71210534,0.56400000,0.55961292,0.67574033
29.7321,28.0000,28.0000,28.0000,28.4429,0.64851429,0.83221571,0.71210534,0.56400000,0.55963598,0.67574033
30.6757,29.0000,29.0000,29.0000,29.4279,0.64851429,0.83221571,0.71210534,0.56400000,0.55965829,0.67574033
31.6228,30.0000,30.0000,30.0000,30.4138,0.64851429,0.83221571,0.71210534,0.56400000,0.55967987,0.67574033
32.5730,31.0000,31.0000,31.0000,31.4006,0.64851429,0.83221571,0.71210534,0.56400000,0.55970074,0.67574033
33.5261,32.0000,32.0000,32.0000,32.3883,0.64851429,0.83221571,0.71210534,0.56400000,0.55972092,0.67574033
34.4819,33.0000,33.0000,33.0000,33.3766,0.64851429,0.83221571,0.71210534,0.56400000,0.55974042,0.67574033
35.4401,34.0000,34.0000,34.0000,34.3657,0.64851429,0.83221571,0.71210534,0.56400000,0.55975929,0.67574033
36.4005,35.0000,35.0000,35.0000,35.3553,0.64851429,0.83221571,0.71210534,0.56400000,0.55977753,0.67574033
37.3631,36.0000,36.0000,36.0000,36.3456,0.64851429,0.83221571,0.71210534,0.56400000,0.55979517,0.67574033
38.3275,37.0000,37.0000,37.0000,37.3363,0.64851429,0.83221571,0.71210534,0.56400000,0.55981223,0.67574033
39.2938,38.0000,38.0000,38.0000,38.3275,0.64851429,0.83221571,0.71210534,0.56400000,0.55982873,0.67574033
40.2616,39.0000,39.0000,39.0000,39.3192,0.64851429,0.83221571,0.71210534,0.56400000,0.55984470,0.67574033
41.2311,40.0000,40.0000,40.0000,40.3113,0.64851429,0.83221571,0.71210534,0.56400000,0.55986016,0.67574033
