Distance (km) IMT Trellis
vs30measured,True,hypo_depth,10.0,rake,0.0,z1pt0,100.0,vs30,800.0,ztor,5.0,dip,90.0
Magnitude,6.50
PGA
rhypo,rx,rjb,repi,rrup,AkkarBommer2010,AkkarCagnan2010,AkkarEtAlRjb2014,BooreAtkinson2008,ChiouYoungs2008,ZhaoEtAl2006Asc
10.0000,0.0000,0.0000,0.0000,5.0000,0.38119360,0.29300226,0.40589955,0.48155582,0.41715773,0.34622421
10.0499,1.0000,1.0000,1.0000,5.0990,0.37776116,0.28963436,0.40128486,0.43752158,0.41311806,0.34298587
10.1980,2.0000,2.0000,2.0000,5.3852,0.36796564,0.28010398,0.38820379,0.37249702,0.40176535,0.33394073
10.4403,3.0000,3.0000,3.0000,5.8310,0.35312497,0.26588857,0.36863244,0.32363553,0.38498205,0.32071156
10.7703,4.0000,4.0000,4.0000,6.4031,0.33493530,0.24882095,0.34504536,0.28825977,0.36492988,0.30511117
11.1803,5.0000,5.0000,5.0000,7.0711,0.31503354,0.23057909,0.31973714,0.26158890,0.34343692,0.28861118
11.6619,6.0000,6.0000,6.0000,7.8102,0.29473103,0.21241773,0.29445051,0.24062512,0.32179500,0.27219598
12.2066,7.0000,7.0000,7.0000,8.6023,0.27493632,0.19513080,0.27030908,0.22357976,0.30081034,0.25643650
12.8062,8.0000,8.0000,8.0000,9.4340,0.25619848,0.17913753,0.24792193,0.20934593,0.28093257,0.24161843
13.4536,9.0000,9.0000,9.0000,10.2956,0.23879623,0.16459931,0.22753697,0.19720615,0.26237602,0.22785170
14.1421,10.0000,10.0000,10.0000,11.1803,0.22282695,0.15152044,0.20917774,0.18667503,0.24520968,0.21514594
14.8661,11.0000,11.0000,11.0000,12.0830,0.20827715,0.13982010,0.19274325,0.17741177,0.22941736,0.20345766
15.6205,12.0000,12.0000,12.0000,13.0000,0.19507174,0.12937806,0.17807290,0.16916950,0.21493588,0.19271800
16.4012,13.0000,13.0000,13.0000,13.9284,0.18310594,0.12006172,0.16498538,0.16176448,0.20167861,0.18284862
17.2047,14.0000,14.0000,14.0000,14.8661,0.17226453,0.11174068,0.15330021,0.15505679,0.18954947,0.17377027
18.0278,15.0000,15.0000,15.0000,15.8114,0.16243296,0.10429395,0.14284866,0.14893774,0.17845118,0.16540729
18.8680,16.0000,16.0000,16.0000,16.7631,0.15350312,0.09761288,0.13347837,0.14332139,0.16828984,0.15768963
19.7231,17.0000,17.0000,17.0000,17.7200,0.14537607,0.09160171,0.12505464,0.13813880,0.15897737,0.15055367
20.5913,18.0000,18.0000,18.0000,18.6815,0.13796291,0.08617701,0.11745973,0.13333386,0.15043254,0.14394220
21.4709,19.0000,19.0000,19.0000,19.6469,0.13118465,0.08126652,0.11059152,0.12886042,0.14258130,0.13780413
22.3607,20.0000,20.0000,20.0000,20.6155,0.12497159,0.07680787,0.10436174,0.12468005,0.13535665,0.13209399
23.2594,21.0000,21.0000,21.0000,21.5870,0.11926247,0.07274730,0.09869422,0.12076047,0.12869824,0.12677136
24.1661,22.0000,22.0000,22.0000,22.5610,0.11400354,0.06903841,0.09352320,0.11707434,0.12255187,0.12180032
25.0799,23.0000,23.0000,23.0000,23.5372,0.10914767,0.06564115,0.08879187,0.11359827,0.11686898,0.11714897
26.0000,24.0000,24.0000,24.0000,24.5153,0.10465350,0.06252085,0.08445108,0.11031219,0.11160606,0.11278889
26.9258,25.0000,25.0000,25.0000,25.4951,0.10048470,0.05964745,0.08045819,0.10719866,0.10672415,0.10869477
27.8568,26.0000,26.0000,26.0000,26.4764,0.09660932,0.05699480,0.07677614,0.10424253,0.10218836,0.10484400
28.7924,27.0000,27.0000,27.0000,27.4591,0.09299919,0.05454010,0.07337260,0.10143050,0.09796746,0.10121638
29.7321,28.0000,28.0000,28.0000,28.4429,0.08962943,0.05226342,0.07021933,0.09875086,0.09403339,0.09779377
30.6757,29.0000,29.0000,29.0000,29.4279,0.08647801,0.05014727,0.06729156,0.09619325,0.09036101,0.09455991
31.6228,30.0000,30.0000,30.0000,30.4138,0.08352539,0.04817628,0.06456752,0.09374845,0.08692771,0.09150014
32.5730,31.0000,31.0000,31.0000,31.4006,0.08075419,0.04633686,0.06202801,0.09140824,0.08371314,0.08860124
33.5261,32.0000,32.0000,32.0000,32.3883,0.07814889,0.04461703,0.05965605,0.08916524,0.08069899,0.08585128
34.4819,33.0000,33.0000,33.0000,33.3766,0.07569566,0.04300613,0.05743659,0.08701283,0.07786874,0.08323943
35.4401,34.0000,34.0000,34.0000,34.3657,0.07338207,0.04149469,0.05535626,0.08494502,0.07520745,0.08075588
36.4005,35.0000,35.0000,35.0000,35.3553,0.07119699,0.04007427,0.05340314,0.08295639,0.07270164,0.07839170
37.3631,36.0000,36.0000,36.0000,36.3456,0.06913040,0.03873730,0.05156656,0.08104202,0.07033908,0.07613876
38.3275,37.0000,37.0000,37.0000,37.3363,0.06717324,0.03747703,0.04983699,0.07919742,0.06810870,0.07398963
39.2938,38.0000,38.0000,38.0000,38.3275,0.06531735,0.03628736,0.04820585,0.07741849,0.06600042,0.07193752
40.2616,39.0000,39.0000,39.0000,39.3192,0.06355532,0.03516281,0.04666543,0.07570149,0.06400510,0.06997623
41.2311,40.0000,40.0000,40.0000,40.3113,0.06188044,0.03409845,0.04520877,0.07404298,0.06211442,0.06810003
42.2019,41.0000,41.0000,41.0000,41.3038,0.06028661,0.03308980,0.04382959,0.07243978,0.06032078,0.06630369
43.1741,42.0000,42.0000,42.0000,42.2966,0.05876824,0.03213280,0.04252218,0.07088898,0.05861725,0.06458237
44.1475,43.0000,43.0000,43.0000,43.2897,0.05732028,0.03122377,0.04128139,0.06938787,0.05699750,0.06293163
45.1221,44.0000,44.0000,44.0000,44.2832,0.05593807,0.03035936,0.04010250,0.06793396,0.05545573,0.06134735
46.0977,45.0000,45.0000,45.0000,45.2769,0.05461735,0.02953651,0.03898124,0.06652492,0.05398664,0.05982574
47.0744,46.0000,46.0000,46.0000,46.2709,0.05335424,0.02875244,0.03791368,0.06515862,0.05258536,0.05836326
48.0521,47.0000,47.0000,47.0000,47.2652,0.05214514,0.02800458,0.03689626,0.06383303,0.05124742,0.05695667
49.0306,48.0000,48.0000,48.0000,48.2597,0.05098675,0.02729060,0.03592570,0.06254629,0.04996871,0.05560292
