Magnitude - Distance (km) Spectra Total Standard Deviations Trellis
vs30measured,True,hypo_depth,10.0,rake,0.0,z1pt0,100.0,vs30,800.0,ztor,5.0,dip,90.0
Magnitude,5.0,rhypo,11.1803398875,rx,5.0,rjb,5.0,repi,5.0,rrup,7.07106781187
IMT,AkkarBommer2010,AkkarCagnan2010,AkkarEtAlRjb2014,BooreAtkinson2008,ChiouYoungs2008,ZhaoEtAl2006Asc
0.05,0.68448171,0.83272616,0.75140192,0.58900000,0.71321487,0.71824508
0.075,0.68373630,0.85656020,0.76180022,0.60600000,0.72053963,0.75066393
0.1,0.68320742,0.87101736,0.78121309,0.60800000,0.72232904,0.77369245
0.11,0.68672542,0.87453582,0.78438782,0.60470911,0.72234542,0.77424269
0.12,0.68993710,0.87778877,0.78728844,0.60170476,0.72237026,0.77475621
0.13,0.69289156,0.88081523,0.78883972,0.59894102,0.72240165,0.77523801
0.14,0.69562697,0.88364608,0.78805272,0.59638220,0.72243814,0.77569210
0.15,0.69817357,0.88630618,0.78320537,0.59400000,0.72247867,0.77612177
0.16,0.69760005,0.88739557,0.78200913,0.59444868,0.72182743,0.77228021
0.17,0.69706131,0.88842037,0.78025848,0.59487015,0.72121592,0.76868163
0.18,0.69655337,0.88938787,0.77776112,0.59526752,0.72063983,0.76529780
0.19,0.69607291,0.89030421,0.77229031,0.59564340,0.72009547,0.76210512
0.2,0.69561709,0.89117458,0.76757403,0.59600000,0.71957972,0.75908366
0.22,0.69717789,0.89502668,0.76595541,0.59429150,0.71827650,0.75274114
0.24,0.69860279,0.89854658,0.76560476,0.59273176,0.71706803,0.74696698
0.26,0.70050127,0.89645912,0.76364269,0.59544189,0.71544029,0.74207157
0.28,0.70282533,0.88954770,0.75857201,0.60194539,0.71343493,0.73793765
0.3,0.70498899,0.88329921,0.76229034,0.60800000,0.71155545,0.73409809
0.32,0.71482250,0.88475518,0.76955618,0.60687830,0.70975659,0.73613694
0.34,0.72405966,0.88612857,0.77005170,0.60582463,0.70805159,0.73818595
0.36,0.72993581,0.88742847,0.77317540,0.60483120,0.70643137,0.74023554
0.38,0.73273680,0.88866256,0.77734310,0.60389149,0.70488810,0.74227858
0.4,0.73539410,0.88983734,0.77812115,0.60300000,0.70341496,0.74430975
0.42,0.73961011,0.88474449,0.77439341,0.60562379,0.70236415,0.74233568
0.44,0.74362996,0.87989413,0.77162116,0.60812550,0.70135494,0.74045457
0.46,0.74808932,0.87526452,0.77008250,0.61051598,0.70038428,0.73865812
0.48,0.75296409,0.87083675,0.76777656,0.61280471,0.69944940,0.73693908
0.5,0.75763983,0.86659419,0.76534035,0.61500000,0.69854786,0.73529110
0.55,0.76534465,0.87281337,0.77216675,0.62205191,0.69721515,0.73795210
0.6,0.76669338,0.87853446,0.77743488,0.62848981,0.69598327,0.74041205
0.65,0.77792393,0.88383323,0.78266519,0.63441210,0.69483961,0.74044452
0.7,0.78126410,0.88876924,0.78698565,0.63989528,0.69377358,0.74047620
0.75,0.77761721,0.89339013,0.78630392,0.64500000,0.69277628,0.73943434
0.8,0.76632803,0.89745590,0.78036743,0.64544868,0.69346660,0.73847478
