Magnitude - Distance Spectra (km) IMT Trellis
vs30measured,True,hypo_depth,10.0,rake,0.0,z1pt0,100.0,vs30,800.0,ztor,5.0,dip,90.0
Magnitude,5.0,rhypo,11.1803398875,rx,5.0,rjb,5.0,repi,5.0,rrup,7.07106781187
IMT,AkkarBommer2010,AkkarCagnan2010,AkkarEtAlRjb2014,BooreAtkinson2008,ChiouYoungs2008,ZhaoEtAl2006Asc
0.05,0.22269288,0.08773383,0.18142511,0.13835215,0.21034665,0.13260708
0.075,0.25881241,0.12721970,0.24509657,0.19313694,0.26658878,0.17990163
0.1,0.28821245,0.16765011,0.27440482,0.22621937,0.30770253,0.22302363
0.11,0.29242039,0.16261840,0.28013779,0.22986717,0.31408248,0.22034161
0.12,0.29634540,0.15822334,0.28208461,0.23324319,0.31986450,0.21794544
0.13,0.30002799,0.15431750,0.27990931,0.23635427,0.32513130,0.21578285
0.14,0.30350024,0.15083226,0.27584955,0.23926783,0.32994907,0.21381442
0.15,0.30678807,0.14769616,0.26921852,0.24200930,0.33437172,0.21200976
0.16,0.29558017,0.14689330,0.25978922,0.22570024,0.32927133,0.20372497
0.17,0.28540767,0.14616494,0.24887387,0.21139456,0.32436997,0.19630869
0.18,0.27612255,0.14548233,0.23709667,0.19872323,0.31964801,0.18961985
0.19,0.26760467,0.14485661,0.22461290,0.18744563,0.31508913,0.18354735
0.2,0.25975540,0.14428067,0.21450444,0.17734629,0.31067966,0.17800240
0.22,0.24480613,0.12611870,0.19689316,0.16118740,0.29498106,0.16556794
0.24,0.23169251,0.11082886,0.17993708,0.14772463,0.28079020,0.15507220
0.26,0.21739717,0.09979963,0.16453800,0.13619854,0.26568002,0.14396275
0.28,0.20242639,0.09220442,0.14874269,0.12614052,0.24995726,0.13252956
0.3,0.18930819,0.08569829,0.13547517,0.11744744,0.23572472,0.12269592
0.32,0.17353719,0.07837423,0.12251234,0.11279968,0.21975509,0.11509623
0.34,0.15989010,0.07191175,0.11081881,0.10859559,0.20539018,0.10846087
0.36,0.14668876,0.06617436,0.10261896,0.10477043,0.19240495,0.10262194
0.38,0.13404322,0.06105779,0.09489708,0.10128014,0.18061580,0.09744815
0.4,0.12304775,0.05646750,0.08840017,0.09807262,0.16987112,0.09283540
0.42,0.11264006,0.05269571,0.08212457,0.09218219,0.15885851,0.08669804
0.44,0.10353403,0.04932829,0.07634333,0.08689369,0.14886126,0.08130629
0.46,0.09445419,0.04630649,0.07135597,0.08212234,0.13975491,0.07654555
0.48,0.08556882,0.04355915,0.06673045,0.07775726,0.13143422,0.07232303
0.5,0.07783892,0.04107296,0.06258367,0.07378727,0.12380958,0.06856297
0.55,0.06726362,0.03363814,0.05258536,0.06410647,0.10694915,0.05901755
0.6,0.05830701,0.02799785,0.04489322,0.05637918,0.09321083,0.05198172
0.65,0.05117129,0.02364237,0.03827048,0.05013394,0.08186600,0.04623465
0.7,0.04641150,0.02019789,0.03321875,0.04496860,0.07238918,0.04147823
0.75,0.04027841,0.01742990,0.02880542,0.04063803,0.06439275,0.03703386
0.8,0.03504726,0.01557353,0.02588003,0.03755873,0.05764075,0.03331167
0.85,0.03039975,0.01400244,0.02316161,0.03487768,0.05185581,0.03022791
0.9,0.02678735,0.01265786,0.02063867,0.03251844,0.04686292,0.02758645
0.95,0.02361273,0.01149958,0.01861806,0.03043290,0.04252499,0.02481611
1.0,0.02112709,0.01049423,0.01696184,0.02857733,0.03873339,0.02244521
1.1,0.01696137,0.00860440,0.01408425,0.02437811,0.03243349,0.01867207
1.2,0.01404379,0.00717570,0.01199194,0.02108530,0.02751352,0.01578022
