Magnitude IMT Total Standard Deviations Trellis
vs30measured,True,hypo_depth,10.0,rake,0.0,z1pt0,100.0,vs30,800.0,ztor,5.0,dip,90.0
Distances,rx,15.0,rjb,15.0,rrup,16.0
PGA
Magnitude,AkkarBommer2010,AkkarCagnan2010,AkkarEtAlRjb2014,BooreAtkinson2008,ChiouYoungs2008,ZhaoEtAl2006Asc
4.5,0.64851429,0.83221571,0.71210534,0.56400000,0.67470369,0.67574033
4.6,0.64851429,0.83221571,0.71210534,0.56400000,0.67463402,0.67574033
4.7,0.64851429,0.83221571,0.71210534,0.56400000,0.67456553,0.67574033
4.8,0.64851429,0.83221571,0.71210534,0.56400000,0.67449874,0.67574033
4.9,0.64851429,0.83221571,0.71210534,0.56400000,0.67443389,0.67574033
5.0,0.64851429,0.83221571,0.71210534,0.56400000,0.67437101,0.67574033
5.1,0.64851429,0.83221571,0.71210534,0.56400000,0.66667908,0.67574033
5.2,0.64851429,0.83221571,0.71210534,0.56400000,0.65899034,0.67574033
5.3,0.64851429,0.83221571,0.71210534,0.56400000,0.65130465,0.67574033
5.4,0.64851429,0.83221571,0.71210534,0.56400000,0.64362187,0.67574033
5.5,0.64851429,0.83221571,0.71210534,0.56400000,0.63594187,0.67574033
5.6,0.64851429,0.83221571,0.71210534,0.56400000,0.62826457,0.67574033
5.7,0.64851429,0.83221571,0.71210534,0.56400000,0.62058990,0.67574033
5.8,0.64851429,0.83221571,0.71210534,0.56400000,0.61291781,0.67574033
5.9,0.64851429,0.83221571,0.71210534,0.56400000,0.60524824,0.67574033
6.0,0.64851429,0.83221571,0.71210534,0.56400000,0.59758116,0.67574033
6.1,0.64851429,0.83221571,0.71210534,0.56400000,0.58991653,0.67574033
6.2,0.64851429,0.83221571,0.71210534,0.56400000,0.58225430,0.67574033
6.3,0.64851429,0.83221571,0.71210534,0.56400000,0.57459443,0.67574033
6.4,0.64851429,0.83221571,0.71210534,0.56400000,0.56693686,0.67574033
6.5,0.64851429,0.83221571,0.71210534,0.56400000,0.55928154,0.67574033
6.6,0.64851429,0.83221571,0.71210534,0.56400000,0.55162842,0.67574033
6.7,0.64851429,0.83221571,0.71210534,0.56400000,0.54397741,0.67574033
6.8,0.64851429,0.83221571,0.71210534,0.56400000,0.53632846,0.67574033
6.9,0.64851429,0.83221571,0.71210534,0.56400000,0.52868150,0.67574033
7.0,0.64851429,0.83221571,0.71210534,0.56400000,0.52103645,0.67574033
7.1,0.64851429,0.83221571,0.71210534,0.56400000,0.52101337,0.67574033
