Magnitude IMT Trellis
vs30measured,True,hypo_depth,10.0,rake,0.0,z1pt0,100.0,vs30,800.0,ztor,5.0,dip,90.0
Distances,rx,15.0,rjb,15.0,rrup,16.0
PGA
Magnitude,AkkarBommer2010,AkkarCagnan2010,AkkarEtAlRjb2014,BooreAtkinson2008,ChiouYoungs2008,ZhaoEtAl2006Asc
4.5,0.03393198,0.01132712,0.02436094,0.02631017,0.03064325,0.02401789
4.6,0.03775726,0.01311104,0.02675589,0.02925193,0.03557435,0.02668408
4.7,0.04188781,0.01511971,0.02936979,0.03245658,0.04074838,0.02963072
4.8,0.04633092,0.01737152,0.03222097,0.03593917,0.04613825,0.03288377
4.9,0.05109168,0.01988478,0.03532909,0.03971463,0.05173156,0.03647077
5.0,0.05617272,0.02267733,0.03871529,0.04379759,0.05752788,0.04042080
5.1,0.06157390,0.02576626,0.04240224,0.04820221,0.06353521,0.04476429
5.2,0.06729208,0.02916750,0.04641424,0.05294207,0.06976647,0.04953285
5.3,0.07332080,0.03289541,0.05077733,0.05802994,0.07623685,0.05475897
5.4,0.07965012,0.03696237,0.05551939,0.06347759,0.08296178,0.06047566
5.5,0.08626640,0.04137830,0.06067024,0.06929563,0.08995570,0.06671600
5.6,0.09315216,0.04615022,0.06626175,0.07549332,0.09723129,0.07351258
5.7,0.10028597,0.05128180,0.07232798,0.08207829,0.10479905,0.08089682
5.8,0.10764241,0.05677290,0.07890525,0.08905643,0.11266716,0.08889821
5.9,0.11519209,0.06261916,0.08603232,0.09643161,0.12084141,0.09754346
6.0,0.12290171,0.06881161,0.09375050,0.10420552,0.12932528,0.10685550
6.1,0.13073418,0.07533634,0.10210376,0.11237746,0.13812003,0.11685248
6.2,0.13864889,0.08217424,0.11113889,0.12094414,0.14722476,0.12754665
6.3,0.14660192,0.08930076,0.12090564,0.12989955,0.15663659,0.13894334
6.4,0.15454640,0.09668586,0.13145686,0.13923474,0.16635072,0.15103987
6.5,0.16243296,0.10429395,0.14284866,0.14893774,0.17636059,0.16382466
6.6,0.17021013,0.11006252,0.15514051,0.15899338,0.18665797,0.17727640
6.7,0.17782493,0.11571991,0.16839550,0.16938327,0.19723308,0.19136354
6.8,0.18522342,0.12121743,0.17805868,0.17755569,0.20807472,0.20604398
6.9,0.19235131,0.12650579,0.18341007,0.18341437,0.21917036,0.22126516
7.0,0.19915462,0.13153583,0.18881627,0.18946637,0.23050631,0.23696443
7.1,0.20558037,0.13625927,0.19427272,0.19571807,0.24206779,0.25306993
7.2,0.21157721,0.14062948,0.19977467,0.20217605,0.25383908,0.26950174
