eventID,Agency,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,magnitudeType
1000003,ISC-GEM,1900,10,29,9,11,0.0,nan,-66.0,11.0,nan,nan,nan,0.0,2.7999999999999998,7.6900000000000004,0.68000000000000005,
1000011,GUTE,1904,1,20,14,52,6.0,nan,-79.0,7.0,nan,nan,nan,35.0,nan,7.7999999999999998,0.20000000000000001,
1000020,GUTE,1904,12,20,5,44,18.0,nan,-83.0,8.5,nan,nan,nan,35.0,nan,7.7999999999999998,0.20000000000000001,
1000037,ISC-GEM,1906,1,31,15,36,11.769999,nan,-79.369,0.95499999999999996,37.200000000000003,15.300000000000001,70.099999999999994,20.0,20.5,8.3499999999999996,1.1799999999999999,
1000044,GUTE,1906,9,28,15,24,54.0,nan,-79.0,-2.0,nan,nan,nan,150.0,nan,7.5,0.20000000000000001,
1000146,GUTE,1911,4,10,18,42,24.0,nan,-74.0,9.0,nan,nan,nan,100.0,nan,7.2000000000000002,0.20000000000000001,
1000148,GUTE,1911,4,28,9,52,54.0,nan,-71.0,0.0,nan,nan,nan,600.0,nan,7.0999999999999996,0.20000000000000001,
1000254,GUTE,1914,5,28,3,23,54.0,nan,-78.0,9.0,nan,nan,nan,70.0,nan,7.2000000000000002,0.20000000000000001,
1000282,GUTE,1915,4,23,15,29,18.0,nan,-68.0,-8.0,nan,nan,nan,650.0,nan,7.2000000000000002,0.20000000000000001,
1000351,GUTE,1917,8,31,11,36,24.0,nan,-74.0,4.0,nan,nan,nan,35.0,nan,7.2999999999999998,0.20000000000000001,
1000427,GUTE,1919,7,11,0,30,38.0,nan,-72.0,8.0,nan,nan,nan,35.0,nan,6.2000000000000002,0.20000000000000001,
1000443,GUTE,1920,1,30,18,26,45.0,nan,-77.5,3.0,nan,nan,nan,35.0,nan,6.0,0.20000000000000001,
1000477,GUTE,1920,9,24,21,55,0.0,nan,-83.0,6.0,nan,nan,nan,35.0,nan,6.5,0.20000000000000001,
1000532,ISC-GEM,1921,11,13,8,40,58.920000000000002,nan,-71.460999999999999,11.829000000000001,14.6,8.9000000000000004,104.5,15.0,42.700000000000003,6.3499999999999996,0.52000000000000002,
1000534,ISC-GEM,1921,12,18,15,29,29.120000000000001,nan,-71.322000000000003,-3.827,13.300000000000001,8.4000000000000004,50.700000000000003,540.0,25.0,7.2999999999999998,0.29999999999999999,
1000538,ISC-GEM,1922,1,17,3,50,29.710000000000001,nan,-71.397999999999996,-3.0249999999999999,11.0,8.3000000000000007,61.200000000000003,475.0,25.0,7.9000000000000004,0.20000000000000001,
1000688,ISC-GEM,1924,3,4,10,7,54.25,nan,-83.915000000000006,9.7910000000000004,9.5999999999999996,6.5999999999999996,55.600000000000001,15.0,16.699999999999999,7.1200000000000001,0.20000000000000001,
1000691,GUTE,1924,3,11,22,44,23.0,nan,-82.0,-4.0,nan,nan,nan,60.0,nan,6.7999999999999998,0.20000000000000001,
1000715,GUTE,1924,6,22,22,29,8.0,nan,-78.5,5.5,nan,nan,nan,60.0,nan,6.5,0.20000000000000001,
1000719,ISC-GEM,1924,7,6,14,18,52.670000000000002,nan,-77.600999999999999,7.2240000000000002,12.1,8.6999999999999993,75.700000000000003,20.0,6.0999999999999996,6.4400000000000004,0.20000000000000001,
1000724,GUTE,1924,7,22,4,4,18.0,nan,-80.0,-2.0,nan,nan,nan,250.0,nan,6.5,0.20000000000000001,
1000752,GUTE,1924,10,18,23,5,27.0,nan,-80.0,2.5,nan,nan,nan,35.0,nan,6.7999999999999998,0.20000000000000001,
1000790,ISC-GEM,1925,3,29,21,12,36.920000000000002,nan,-77.805000000000007,7.8529999999999998,9.8000000000000007,6.5999999999999996,61.399999999999999,15.0,25.0,6.4000000000000004,0.20000000000000001,
1000813,ISC-GEM,1925,6,7,23,41,37.600000000000001,nan,-75.331000000000003,4.2789999999999999,15.699999999999999,7.9000000000000004,68.599999999999994,15.0,25.0,6.29,0.67000000000000004,
1000818,GUTE,1925,6,23,16,46,58.0,nan,-77.0,0.0,nan,nan,nan,180.0,nan,6.7999999999999998,0.20000000000000001,
1000879,GUTE,1926,3,7,20,33,38.0,nan,-76.5,-5.0,nan,nan,nan,150.0,nan,6.5,0.20000000000000001,
1001012,GUTE,1927,3,13,5,32,26.0,nan,-81.5,-6.0,nan,nan,nan,35.0,nan,6.0,0.20000000000000001,
1001071,ISC-GEM,1927,8,10,1,35,33.299999,nan,-82.549999999999997,7.1959999999999997,11.5,7.0,54.899999999999999,15.0,12.199999999999999,6.6100000000000003,0.51000000000000001,
1001077,ISC-GEM,1927,8,20,23,54,32.170000000000002,nan,-82.058999999999997,5.2619999999999996,9.6999999999999993,6.2999999999999998,78.799999999999997,10.0,25.0,6.7999999999999998,0.22,
1001160,GUTE,1928,5,14,22,14,46.0,nan,-78.0,-5.0,nan,nan,nan,35.0,nan,7.2999999999999998,0.20000000000000001,
1001180,GUTE,1928,7,18,19,5,0.0,nan,-79.0,-5.5,nan,nan,nan,35.0,nan,7.0,0.20000000000000001,
1001248,ISC-GEM,1929,1,17,11,45,43.490000000000002,nan,-64.665999999999997,9.6850000000000005,8.5999999999999996,7.5,42.799999999999997,35.0,25.0,6.7000000000000002,0.29999999999999999,
1001251,GUTE,1929,1,19,3,17,54.0,nan,-81.5,10.0,nan,nan,nan,35.0,nan,6.0,0.20000000000000001,
1001348,ISC-GEM,1929,8,15,19,56,28.030000000000001,nan,-82.474999999999994,5.0830000000000002,12.300000000000001,8.9000000000000004,45.399999999999999,15.0,9.5999999999999996,6.25,0.20000000000000001,
1001409,GUTE,1930,3,8,3,45,30.0,nan,-78.75,9.75,nan,nan,nan,35.0,nan,6.2000000000000002,0.20000000000000001,
1001436,GUTE,1930,5,29,8,30,54.0,nan,-74.5,7.0,nan,nan,nan,220.0,nan,6.0,0.20000000000000001,
1001501,GUTE,1930,11,24,6,6,48.0,nan,-77.0,-2.0,nan,nan,nan,100.0,nan,6.2000000000000002,0.20000000000000001,
1001593,GUTE,1931,5,1,22,36,52.0,nan,-69.75,8.25,nan,nan,nan,35.0,nan,6.2000000000000002,0.20000000000000001,
1001684,GUTE,1931,9,12,15,41,32.0,nan,-77.5,5.0,nan,nan,nan,35.0,nan,6.2000000000000002,0.20000000000000001,
1001711,GUTE,1931,10,12,3,57,24.0,nan,-82.5,7.5,nan,nan,nan,35.0,nan,6.0,0.20000000000000001,
1001776,GUTE,1932,2,17,16,6,57.0,nan,-73.5,12.0,nan,nan,nan,35.0,nan,5.5999999999999996,0.20000000000000001,
1001794,GUTE,1932,3,14,22,42,48.0,nan,-71.75,8.25,nan,nan,nan,35.0,nan,6.7999999999999998,0.20000000000000001,
1001892,GUTE,1932,6,29,22,20,12.0,nan,-77.5,7.0,nan,nan,nan,35.0,nan,5.5999999999999996,0.20000000000000001,
1001934,GUTE,1932,9,5,6,23,50.0,nan,-81.0,-6.0,nan,nan,nan,50.0,nan,6.0,0.20000000000000001,
1002081,GUTE,1933,5,6,5,33,30.0,nan,-83.0,5.5,nan,nan,nan,35.0,nan,6.5,0.20000000000000001,
1002082,GUTE,1933,5,6,20,30,29.0,nan,-82.75,5.75,nan,nan,nan,35.0,nan,6.0,0.20000000000000001,
1002088,GUTE,1933,5,18,4,28,35.0,nan,-78.5,0.5,nan,nan,nan,60.0,nan,5.5999999999999996,0.20000000000000001,
1002101,GUTE,1933,5,30,11,43,36.0,nan,-83.0,8.0,nan,nan,nan,35.0,nan,5.5999999999999996,0.20000000000000001,
1002218,GUTE,1933,10,1,2,40,42.0,nan,-75.25,-7.0,nan,nan,nan,120.0,nan,6.2000000000000002,0.20000000000000001,
1002222,ISC-GEM,1933,10,2,15,29,28.899999000000001,nan,-80.846000000000004,-1.8340000000000001,11.1,5.7999999999999998,73.5,15.0,20.899999999999999,6.7199999999999998,0.22,
1002223,GUTE,1933,10,3,10,21,20.0,nan,-80.75,-1.75,nan,nan,nan,35.0,nan,6.2000000000000002,0.20000000000000001,
1002224,GUTE,1933,10,3,14,21,49.0,nan,-80.75,-1.75,nan,nan,nan,35.0,nan,6.0,0.20000000000000001,
1002243,GUTE,1933,11,4,8,41,17.0,nan,-72.0,8.5,nan,nan,nan,35.0,nan,6.0,0.20000000000000001,
1002252,GUTE,1933,11,21,23,48,38.0,nan,-83.0,8.0,nan,nan,nan,35.0,nan,6.0,0.20000000000000001,
1002254,GUTE,1933,11,23,18,57,44.0,nan,-83.0,8.0,nan,nan,nan,35.0,nan,6.0,0.20000000000000001,
1002256,GUTE,1933,11,29,5,3,20.0,nan,-83.0,8.0,nan,nan,nan,35.0,nan,6.0,0.20000000000000001,
1002336,GUTE,1934,4,3,7,36,27.0,nan,-78.0,4.0,nan,nan,nan,35.0,nan,6.0,0.20000000000000001,
1002418,ISC-GEM,1934,7,18,1,36,32.07,nan,-82.492000000000004,7.9029999999999996,8.4000000000000004,6.0999999999999996,82.0,30.0,14.4,7.5,0.40000000000000002,
1002419,ISC-GEM,1934,7,18,4,0,42.179999000000002,nan,-82.855999999999995,7.9800000000000004,11.800000000000001,7.9000000000000004,82.099999999999994,20.0,7.5,6.6299999999999999,0.20000000000000001,
1002420,GUTE,1934,7,18,6,35,32.0,nan,-82.5,8.25,nan,nan,nan,35.0,nan,6.0,0.20000000000000001,
1002421,ISC-GEM,1934,7,18,16,9,55.450000000000003,nan,-82.519000000000005,7.7729999999999997,14.9,12.9,178.5,25.0,14.4,6.8300000000000001,0.31,
1002422,ISC-GEM,1934,7,18,16,59,46.030000000000001,nan,-82.317999999999998,7.4960000000000004,10.199999999999999,7.7999999999999998,84.599999999999994,25.0,17.0,6.8099999999999996,0.33000000000000002,
1002430,ISC-GEM,1934,7,21,10,39,15.269999,nan,-82.510999999999996,8.2050000000000001,9.3000000000000007,7.2000000000000002,66.400000000000006,25.0,14.4,6.7199999999999998,0.20000000000000001,
1002444,GUTE,1934,8,6,12,7,8.0,nan,-77.75,3.25,nan,nan,nan,35.0,nan,6.0,0.20000000000000001,
