lat,long,exx,eyy,exy,vorticity,RL-NLC,LL-NLC,e1,e2,azi_e1
30.0,15.0,0.0,0.0,0.0,0.083,90.0,90.0,0.0,0.0,90.0
30.0,15.1,-0.0,-0.0,-0.0,0.083,-5.7,-5.7,-0.0,-0.0,96.9
30.0,15.2,-0.0,0.0,-0.0,0.083,73.1,-80.5,0.0,-0.0,176.4
30.0,15.3,-0.0,-0.0,-0.0,0.083,-15.4,-79.5,0.0,-0.0,137.2
30.0,15.4,0.0,0.0,0.0,0.083,-47.1,47.1,0.0,0.0,90.0
30.0,15.5,0.0,0.0,0.0,0.083,90.0,90.0,0.0,0.0,90.0
30.0,15.6,0.0,0.0,-0.0,0.082,11.0,-66.4,0.0,-0.0,147.2
30.0,15.7,-0.0,0.0,0.0,0.082,-78.5,-78.5,0.0,-0.0,191.0
30.0,15.8,-0.0,-0.0,-0.0,0.082,-33.1,-33.1,-0.0,-0.0,94.7
30.0,15.9,0.0,0.0,-0.0,0.082,-3.2,45.6,0.0,-0.0,111.4
30.0,16.0,0.0,0.0,0.0,0.082,90.0,90.0,0.0,0.0,90.0
30.0,16.1,0.0,0.0,-0.0,0.081,9.1,-73.4,0.0,-0.0,152.0
30.0,16.2,0.0,0.0,-0.0,0.081,59.7,-63.7,0.0,0.0,178.6
30.0,16.3,-0.0,0.0,0.0,0.081,80.2,31.9,0.0,-0.0,216.0
30.0,16.4,0.0,0.0,-0.0,0.081,-4.0,46.8,0.0,-0.0,113.7
30.0,16.5,0.0,0.0,0.0,0.081,90.0,90.0,0.0,0.0,90.0
30.0,16.6,-0.0,0.0,0.0,0.081,-67.2,36.4,0.0,-0.0,222.9
30.0,16.7,-0.0,-0.0,0.0,0.08,0.0,0.0,-0.0,-0.0,90.0
30.0,16.8,-0.0,0.0,0.0,0.08,-88.4,-17.2,0.0,-0.0,213.8
30.0,16.9,-0.0,0.0,0.0,0.08,-64.9,15.9,0.0,-0.0,193.4
30.0,17.0,0.0,0.0,0.0,0.08,90.0,90.0,0.0,0.0,90.0
30.0,17.1,-0.0,-0.0,0.0,0.08,33.9,-18.7,-0.0,-0.0,189.5
30.0,17.2,0.0,0.0,0.0,0.079,-15.2,-15.2,0.0,-0.0,191.8
30.0,17.3,-0.0,0.0,0.0,0.079,-43.2,-43.2,0.0,-0.0,197.9
30.0,17.4,0.0,0.0,-0.0,0.079,-26.9,-83.0,0.0,-0.0,148.6
30.0,17.5,0.0,0.0,0.0,0.079,90.0,90.0,0.0,0.0,90.0
30.0,17.6,-0.0,-0.0,-0.0,0.079,1.3,-84.7,0.0,-0.0,136.3
30.0,17.7,-0.0,0.0,0.0,0.079,47.7,-28.5,0.0,-0.0,188.5
30.0,17.8,0.0,0.0,-0.0,0.078,87.1,87.1,0.0,0.0,178.1
30.0,17.9,0.0,0.0,0.0,0.078,-4.9,-4.9,0.0,0.0,203.4
30.0,18.0,0.0,0.0,0.0,0.078,90.0,90.0,0.0,0.0,90.0
30.0,18.1,0.0,-0.0,-0.0,0.078,16.5,39.9,0.0,-0.0,131.0
30.0,18.2,0.0,0.0,0.0,0.078,74.4,-27.1,0.0,-0.0,203.8
30.0,18.3,-0.0,-0.0,0.0,0.077,66.0,-28.4,-0.0,-0.0,195.0
30.0,18.4,0.0,0.0,-0.0,0.077,18.8,-77.6,-0.0,0.0,90.0
30.0,18.5,0.0,0.0,0.0,0.077,90.0,90.0,0.0,0.0,90.0
30.0,18.6,0.0,0.0,-0.0,0.077,20.8,-53.2,0.0,0.0,149.0
30.0,18.7,0.0,0.0,0.0,0.077,-90.0,-34.0,0.0,-0.0,215.7
30.0,18.8,-0.0,-0.0,-0.0,0.077,-35.4,-66.2,0.0,-0.0,138.3
30.0,18.9,0.0,-0.0,-0.0,0.076,10.8,-87.0,0.0,-0.0,116.5
